"Country or Area","Year","Item","Value"
"Cuba","2022","Gross Domestic Product (GDP)","13128.0207681978"
"Cuba","2021","Gross Domestic Product (GDP)","11255.2293626223"
"Cuba","2020","Gross Domestic Product (GDP)","9499.59020230432"
"Cuba","2019","Gross Domestic Product (GDP)","9139.41585605765"
"Cuba","2018","Gross Domestic Product (GDP)","8831.90722233737"
"Cuba","2017","Gross Domestic Product (GDP)","8543.36096849045"
"Cuba","2016","Gross Domestic Product (GDP)","8055.88990736388"
"Cuba","2015","Gross Domestic Product (GDP)","7690.16636247458"
"Cuba","2014","Gross Domestic Product (GDP)","7117.52691001591"
"Cuba","2013","Gross Domestic Product (GDP)","6814.24384354868"
"Cuba","2012","Gross Domestic Product (GDP)","6467.33791422804"
"Democratic People's Republic of Korea","2022","Gross Domestic Product (GDP)","590.450099533521"
"Democratic People's Republic of Korea","2021","Gross Domestic Product (GDP)","654.148007580355"
"Democratic People's Republic of Korea","2020","Gross Domestic Product (GDP)","621.379145465918"
"Democratic People's Republic of Korea","2019","Gross Domestic Product (GDP)","643.145377501516"
"Democratic People's Republic of Korea","2018","Gross Domestic Product (GDP)","691.812595397125"
"Democratic People's Republic of Korea","2017","Gross Domestic Product (GDP)","690.244872100266"
"Democratic People's Republic of Korea","2016","Gross Domestic Product (GDP)","670.577975663014"
"Democratic People's Republic of Korea","2015","Gross Domestic Product (GDP)","653.849674147521"
"Democratic People's Republic of Korea","2014","Gross Domestic Product (GDP)","702.219598738395"
"Democratic People's Republic of Korea","2013","Gross Domestic Product (GDP)","672.007425079304"
"Democratic People's Republic of Korea","2012","Gross Domestic Product (GDP)","648.285724328522"
"Eritrea","2022","Gross Domestic Product (GDP)","646.926451270249"
"Eritrea","2021","Gross Domestic Product (GDP)","610.984356398085"
"Eritrea","2020","Gross Domestic Product (GDP)","594.003772067783"
"Eritrea","2019","Gross Domestic Product (GDP)","566.436164468363"
"Eritrea","2018","Gross Domestic Product (GDP)","582.130815055986"
"Eritrea","2017","Gross Domestic Product (GDP)","560.495845076764"
"Eritrea","2016","Gross Domestic Product (GDP)","645.922035569614"
"Eritrea","2015","Gross Domestic Product (GDP)","602.752434566728"
"Eritrea","2014","Gross Domestic Product (GDP)","783.59949339656"
"Eritrea","2013","Gross Domestic Product (GDP)","593.972461049451"
"Eritrea","2012","Gross Domestic Product (GDP)","693.24988059319"

