country,region,GID_0,GID_1,year,grp_lcu,pop,grp_pc_lcu,ag_grp_pc_lcu,man_grp_pc_lcu,serv_grp_pc_lcu,grp_pc_usd,ag_grp_pc_usd,man_grp_pc_usd,serv_grp_pc_usd,grp_pc_lcu_2015,ag_grp_pc_lcu_2015,man_grp_pc_lcu_2015,serv_grp_pc_lcu_2015,grp_pc_usd_2015,ag_grp_pc_usd_2015,man_grp_pc_usd_2015,serv_grp_pc_usd_2015,grp_pc_lcu2015_usd,ag_grp_pc_lcu2015_usd,man_grp_pc_lcu2015_usd,serv_grp_pc_lcu2015_usd,cpi_2015,deflator_2015,fx,PPP,StructChange,version,T_a,P_a
Albania,Berat,ALB,ALB.1_1,2010,49416066001,151375,326448,,,,3140.842514,,,,345645.9835,,,,3419.068968,,,,2744.075141,,,,104.7429508,94.44576693,103.9364434,44.19621436,0,2,13.12376773,1573.116224
Albania,Berat,ALB,ALB.1_1,2011,52603911678,148160,355048,,,,3518.986662,,,,367423.0111,,,,3752.327886,,,,2916.962438,,,,113.2074664,96.63194446,100.8949547,43.85768488,0,2,12.88203995,796.2875598
Albania,Berat,ALB,ALB.1_1,2012,49020995589,145931,335919,,,,3105.052489,,,,344039.9253,,,,3248.642016,,,,2731.324683,,,,108.193489,97.63953986,108.1846446,43.65524832,0,2,13.37346461,1177.160775
Albania,Berat,ALB,ALB.1_1,2013,50164150141,145132,345645,,,,3271.026209,,,,352981.833,,,,3363.268468,,,,2802.314273,,,,112.2015339,97.92147009,105.6686734,44.11373867,0,2,13.53541203,1086.023721
Albania,Berat,ALB,ALB.1_1,2014,51948832130,143846,361142,,,,3423.82084,,,,363178.8096,,,,3456.433813,,,,2883.267825,,,,116.170384,99.43917167,105.4792341,42.89392984,0,2,13.35798003,1198.51479
Albania,Berat,ALB,ALB.1_1,2015,54691123900,136904,399485.2152,,,,3171.503504,,,,399485.2152,,,,3171.503504,,,,3171.503504,,,,100,100,125.9608304,42.70570052,3,2,13.50185305,1093.56268
Albania,Berat,ALB,ALB.1_1,2016,56964432500,133692,426087.0695,,,,3432.28676,,,,428799.8867,,,,3396.647525,,,,3404.231976,,,,104.1657675,99.36734658,124.1408715,42.38572688,0,2,13.56723094,1222.850704
Albania,Berat,ALB,ALB.1_1,2017,58833361700,129687,453656.5862,,,,3809.050008,,,,450014.9345,,,,3699.93731,,,,3572.65773,,,,114.3396917,100.8092291,119.0996667,42.25557249,0,2,13.58540822,931.8549721
Albania,Berat,ALB,ALB.1_1,2018,58547314200,126295,463575.8676,,,,4292.799749,,,,453179.0005,,,,4072.060328,,,,3597.777174,,,,133.1046965,102.2942076,107.9891667,42.30291357,0,2,13.96528655,1446.457896
Albania,Berat,ALB,ALB.1_1,2019,58118842200,123581,470289.4636,,,,4281.164278,,,,454196.2478,,,,3989.799201,,,,3605.853075,,,,135.2598004,103.5432296,109.8508333,42.34307289,0,2,,
