GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",1263349,1392032,1467696,1508376,1574659,1544672,1777575,1898881,1810226,1843383,2135763,2163624,2464639,2400682,2389377,2324908,2254096,2531626,2418101,2711247,2967732
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",1118214,1242803,1311179,1343323,1403075,1368673,1598285,1713763,1617129,1637181,1926769,1956271,2265880,2194828,2174756,2102159,2018916,2281400,2159410,2446942,2700336
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",60604,57579,110937,187638,134569,74728,210620,276422,150810,84431,303009,287100,531570,371985,243073,153067,23202,249730,98812,301840,386179
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,851,1081,1431,1758,2166,2979,3216,3372,4097,3829,3904,3694,3293,2412,3272,3782,3427,3137,4524,7744
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",4661,4974,5383,6623,6604,8833,12954,14465,12567,12663,13777,12781,11504,15649,15248,19647,14064,21377,22071,22587,26917
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",(D),(D),52503,61362,66484,73541,89708,78122,84477,92539,89309,100210,98222,101646,100526,101264,94922,98795,98254,90172,95511
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",(D),(D),175405,187105,205104,222183,244151,246570,257958,277031,305176,306944,318786,332150,345036,368988,371594,361399,342649,363886,387329
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),271212,272204,293799,296310,262136,237736,227025,240002,251627
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),47574,59946,51237,72679,109458,123662,115624,123884,135702
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",115127,114878,110577,111033,108897,107788,108400,134393,143803,163020,165060,179707,172600,192468,213623,235348,241908,261734,274655,267165,309845
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",129258,130710,141898,143009,154144,152372,155884,159970,167080,171767,170357,173031,181423,187874,192336,190795,191418,197585,210309,207575,233373
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",31119,28656,30448,37348,47436,49313,50307,51450,49166,45392,50988,55760,(D),60430,(D),(D),69739,(D),71936,72383,78370
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",22194,24362,27755,31860,38512,36034,41564,48573,52068,53665,46996,42500,44087,49747,55720,59349,57431,65755,76683,76957,76713
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",232105,303979,315733,217885,259734,248652,277911,275896,268626,277950,304864,312575,338933,338924,361736,332242,380523,373680,370279,441478,462517
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),122013,138404,114875,102589,111529,117316,117436,126727,137616,143756,188685,213096
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),155936,166460,197700,236344,227396,244420,214806,253796,236063,226523,252793,249421
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",90951,88214,88832,92867,102070,110302,120058,125821,125038,133446,135833,129378,128944,138222,144881,132388,127913,130602,130645,145265,152898
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",31615,(D),(D),(D),(D),(D),(D),41333,(D),46114,45659,48990,53030,(D),(D),(D),(D),(D),52278,58471,(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",9645,9331,7775,9565,13488,13837,18395,22648,25477,26772,29425,28756,27700,29028,32807,31425,29078,34285,37639,45498,48517
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",49691,(D),(D),(D),(D),(D),(D),61840,(D),60561,60749,51632,48214,(D),(D),(D),(D),(D),40728,41296,(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",144988,157372,167909,177148,181597,184635,187646,204739,217617,228985,239289,242151,254042,256931,265926,266289,266761,271544,291074,304237,306987
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",(D),(D),(D),(D),19792,19680,17990,19921,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",(D),(D),(D),(D),161805,164955,169657,184818,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",46200,49220,47776,52683,57734,60531,59144,56945,46853,53383,58480,64845,(D),95223,(D),(D),126142,(D),116631,96479,119718
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14945
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),104773
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",31600,36222,34941,35332,38431,37595,36958,37183,37695,38813,39803,45385,47322,50286,50683,48706,49518,50779,52276,52393,56235
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",145135,149229,156517,165053,171584,175999,179291,185118,193097,206202,208993,207353,198759,205854,214621,222750,235180,250225,258690,264305,267396
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",60604,58430,112018,189069,136327,76894,213598,279638,154181,88528,306838,291005,535263,375278,245485,156340,26983,253157,101949,306365,393923
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",244386,245588,252476,254042,263040,260160,264284,294362,310883,334787,335417,352738,354023,380342,405959,426143,433326,459319,484964,474740,543218
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",35780,33630,35832,43971,54040,58146,63261,65915,61732,58055,64765,68541,(D),76079,(D),(D),83802,(D),94007,94970,105287
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",(D),(D),203160,218965,243616,258217,285715,295143,310026,330696,352172,349444,362872,381897,400756,428337,429026,427154,419332,440843,464042
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",270010,304216,339926,437536,407915,372618,547458,604330,496616,458097,701322,698159,952271,809074,691047,626592,493499,713350,542852,760422,876762
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",848203,938587,971253,905787,995159,996055,1050827,1109434,1120513,1179084,1225447,1258113,1313609,1385754,1483709,1475567,1525417,1568050,1616559,1686520,1823574
