"Country or Area","Year","Item","Value"
"Cuba","2022","Gross Domestic Product (GDP)","13301.6092105477"
"Cuba","2021","Gross Domestic Product (GDP)","11391.0891132017"
"Cuba","2020","Gross Domestic Product (GDP)","9605.27914559614"
"Cuba","2019","Gross Domestic Product (GDP)","9232.29686456459"
"Cuba","2018","Gross Domestic Product (GDP)","8911.45884455833"
"Cuba","2017","Gross Domestic Product (GDP)","8610.63943984212"
"Cuba","2016","Gross Domestic Product (GDP)","8110.52253530478"
"Cuba","2015","Gross Domestic Product (GDP)","7734.3830295282"
"Cuba","2014","Gross Domestic Product (GDP)","7146.69572980145"
"Cuba","2013","Gross Domestic Product (GDP)","6828.36428245396"
"Cuba","2012","Gross Domestic Product (GDP)","6470.83673392653"
"Democratic People's Republic of Korea","2022","Gross Domestic Product (GDP)","592.102424562063"
"Democratic People's Republic of Korea","2021","Gross Domestic Product (GDP)","655.924392983658"
"Democratic People's Republic of Korea","2020","Gross Domestic Product (GDP)","622.845633089866"
"Democratic People's Republic of Korea","2019","Gross Domestic Product (GDP)","644.30396831696"
"Democratic People's Republic of Korea","2018","Gross Domestic Product (GDP)","692.735659978684"
"Democratic People's Republic of Korea","2017","Gross Domestic Product (GDP)","690.90396420766"
"Democratic People's Republic of Korea","2016","Gross Domestic Product (GDP)","670.987847263187"
"Democratic People's Republic of Korea","2015","Gross Domestic Product (GDP)","653.987863522967"
"Democratic People's Republic of Korea","2014","Gross Domestic Product (GDP)","702.10713752174"
"Democratic People's Republic of Korea","2013","Gross Domestic Product (GDP)","671.790790250604"
"Democratic People's Republic of Korea","2012","Gross Domestic Product (GDP)","648.132761857493"
"Eritrea","2022","Gross Domestic Product (GDP)","699.02765701477"
"Eritrea","2021","Gross Domestic Product (GDP)","660.248707990061"
"Eritrea","2020","Gross Domestic Product (GDP)","641.757851290618"
"Eritrea","2019","Gross Domestic Product (GDP)","611.647650755748"
"Eritrea","2018","Gross Domestic Product (GDP)","628.189520913787"
"Eritrea","2017","Gross Domestic Product (GDP)","604.367338742096"
"Eritrea","2016","Gross Domestic Product (GDP)","695.655397518724"
"Eritrea","2015","Gross Domestic Product (GDP)","648.258550337841"
"Eritrea","2014","Gross Domestic Product (GDP)","841.385649959296"
"Eritrea","2013","Gross Domestic Product (GDP)","636.864654598744"
"Eritrea","2012","Gross Domestic Product (GDP)","742.466479491485"

