GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",28660864,29884530,32115792,35389483,40459934,44951700,49456363,55246713,50165906,53653965,56912297,58320660,57532958,56587381,51574180,51121833,53550915,54761954,54469922,51261531,58646002,65698817
 "02000","Alaska",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",22739304,23483489,25300056,28272975,32913060,37039270,41228468,46691379,41121169,44340080,47099819,48142446,47535854,46360451,41198055,40407222,42616883,43356789,42995301,39812163,47177911,53839276
 "02000","Alaska",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",349002,313777,357205,324668,369552,400445,374264,446412,425859,540421,623834,553362,576411,545904,516982,442684,439379,437838,461525,400368,388698,471625
 "02000","Alaska",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",4031527,4558409,5210935,7239756,10371063,13783070,16463745,20379389,14381718,15713746,18307063,18281034,16354428,14208393,7740428,6324305,8150441,8277528,6767044,5384363,8705668,11603843
 "02000","Alaska",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",412800,397415,409121,446728,448454,506208,506628,541859,616667,656679,743681,741752,755571,780274,753748,771402,791671,809538,827391,923739,1036921,1046331
 "02000","Alaska",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",1429216,1543562,1712771,1841538,2037300,2038085,2126752,2068256,2172168,2129483,2052775,2012582,2030978,2270657,2534812,2462899,2445039,2573777,2764627,2721150,2721031,2800752
 "02000","Alaska",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",948049,919191,1101950,1221609,1264579,1398702,1550044,1479914,1452550,1107680,971772,991967,1313023,1557930,1783234,1525606,1726515,1366640,1475781,1293980,1456730,1661998
 "02000","Alaska",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",112655,113661,129195,138403,158679,163753,181632,185602,193562,174797,163176,199368,208652,221194,253624,240487,228009,222139,230975,207131,230979,260213
 "02000","Alaska",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",835394,805530,972755,1083207,1105900,1234949,1368412,1294312,1258988,932884,808596,792599,1104371,1336736,1529611,1285120,1498506,1144501,1244806,1086850,1225751,1401785
 "02000","Alaska",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",717725,718562,732761,810460,884177,962751,1041349,1087772,1011889,1106909,1144727,1158981,1239981,1253483,1275377,1275303,1285798,1385396,1542178,1446053,1579951,1695361
 "02000","Alaska",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",1647769,1749113,1821096,1773878,1865149,1869796,1885619,1889033,1962506,2028937,2038786,2078059,2153693,2221088,2367127,2396865,2428402,2522192,2651524,2772149,3026612,3179204
