GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",172899646,180844454,194317966,207246252,227997816,246061113,261152784,261005791,244862188,250527038,261691422,272703341,278679501,286675965,298942157,313787090,333098997,353670978,375544988,386443549,432279816,475653697
 "04000","Arizona",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",150148308,156637783,168383686,179700457,198298469,214258270,227379820,225274806,209897633,214017581,224664495,234956060,240104006,247973425,259314835,272944699,290406039,309802042,329960649,339281065,382330186,423246751
 "04000","Arizona",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1533760,1615281,1623886,2204380,2021239,1838802,2150261,1611397,1318101,1648975,2378965,1885792,2391905,2010711,2139757,2410034,2392939,2263795,2344856,1751448,1924702,2615645
 "04000","Arizona",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1302365,1238162,1381762,1994501,3103431,4441337,4927666,5382103,4708928,6100455,7335503,6417554,5567016,5345140,3665780,3166856,4374039,4257726,4104066,4954475,7493301,6969929
 "04000","Arizona",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3505359,3382260,3520372,3830615,3930500,4658210,5090706,5269786,5736223,6039265,6322493,6222644,6355495,6422551,6449320,6779342,7063414,7267136,7668833,8294338,8856718,8991575
 "04000","Arizona",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",10924989,11265445,12195143,14308190,18345775,21707003,22124754,17650988,11799821,9805095,9606197,9329593,10509214,11105330,11956486,13442055,15520314,17529757,19801162,22015462,23744682,27345827
 "04000","Arizona",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",22224833,22266223,25627300,21953944,20633633,22654132,24539543,23364607,20060929,21110276,22054724,24014884,21714065,23325373,24802344,25424030,25753729,28507137,31568300,32733884,36046499,39416700
 "04000","Arizona",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",19305249,19503331,23017885,19334162,17752623,19321085,20385379,19352234,15566027,16834108,17693900,19885719,18197748,19412998,20330912,20849520,21152204,23601649,26094538,27144000,29550260,32161798
 "04000","Arizona",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2919584,2762892,2609415,2619783,2881011,3333047,4154164,4012373,4494902,4276168,4360824,4129165,3516317,3912375,4471432,4574511,4601526,4905488,5473762,5589883,6496239,7254902
 "04000","Arizona",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10006936,10098957,10702586,11811525,12755590,13768401,15123924,15211897,14421149,14797064,15281537,16644787,16545590,16718469,17167207,17875780,18676564,19389033,20162757,20990824,23036683,25697177
