GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "08000","Colorado",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",185848949,189604648,195137640,203743341,220803754,232853629,248571565,257606096,249817109,256771808,266114105,274738794,291265349,309223898,320895865,330565921,350209112,373923074,397701553,397612191,447051654,491289043
 "08000","Colorado",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",162366524,164383987,168913824,176661078,192396891,203806613,218797831,225670497,216945776,222855156,231929026,240010916,255585744,271923407,281378066,289386358,307059120,328706116,350473653,348237345,395455081,436922910
 "08000","Colorado",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1858638,1531693,1584828,2066923,2112499,1973704,2488000,2165830,2027278,2274301,2780881,2558335,2715612,2726541,2801889,2621601,2364919,2487052,2505873,1870170,3066105,1340278
 "08000","Colorado",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2742715,2654153,4310748,5696541,9517444,10939883,11279371,15840121,10663290,11696557,13370571,12403582,14194951,17771839,11786673,9754981,13292822,16033939,14390246,8509392,15412446,21182518
 "08000","Colorado",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2337572,2240777,2477987,2795394,2872074,3441458,3081455,3312618,3286380,3875294,3984592,3779323,3808068,4136270,4156129,3986344,3940150,3946298,4513266,4993720,6436215,6766087
 "08000","Colorado",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",12029915,11852305,11556233,12052734,13185074,13852988,14277226,13603389,11466565,9289707,9445709,10110578,12584547,15118080,17003710,18898556,20895748,22790606,24636179,25063804,26356553,28665870
 "08000","Colorado",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",14481492,14885798,14528424,15663976,16779626,18201086,19414849,19054105,19395209,19758831,20088732,20549829,20841831,21666150,22353745,21878433,21524028,23032540,24289201,25429128,26763956,28393910
 "08000","Colorado",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",9081222,9946772,9520083,10492860,10853015,11976990,12734873,11442250,10520882,11957708,12231021,12907434,13421913,13275718,13636371,13442445,13803686,14747057,15790419,16224947,16795960,17993531
 "08000","Colorado",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",5400270,4939026,5008341,5171116,5926611,6224096,6679976,7611854,8874327,7801122,7857711,7642395,7419918,8390432,8717374,8435988,7720342,8285483,8498781,9204181,9967997,10400380
 "08000","Colorado",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10347792,10073042,10146133,10609098,11536448,12498036,13695295,14355279,13377936,14077068,14671810,15833016,16729348,17861397,18802319,19030573,20006146,20943526,22577478,23055083,25140575,27592668
