GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",40649393,42055870,44370625,46731218,48248237,50319537,51891486,53837176,56432404,57615474,58632103,60256082,62454289,64724302,67964504,70628100,73351706,75011421,80413451,80282633,88362033,95897929
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",32329453,33655187,35731246,37744171,38976202,40870459,41876100,43275492,45511301,46289925,47472429,49050168,50260453,52598048,55642379,58203382,60484690,62000069,67197171,67078596,73572959,80520724
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),173345,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),185066,(D),(D),(D),(D),332117,503787
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",68256,65614,77228,96464,98526,125672,127318,133566,142736,140267,119273,119656,100792,112131,102789,132230,145794,155003,177347,203003,(D),(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",648464,588626,671649,671469,643561,896642,884920,934761,1049844,1355325,1758735,1651553,(D),1637872,1660547,1663219,1626603,1569328,1571367,1722210,(D),(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",(D),(D),1887172,2016457,2078103,2099188,2148289,2230677,2406790,2276567,2262593,2445362,2528780,2623425,2716012,2812447,2981745,3041389,3325501,3308663,3496630,3543586
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",3829022,3995650,3772748,4106030,(D),5095824,(D),4796934,(D),(D),(D),(D),5088242,5443727,6264816,6690081,7806322,7544081,8928600,9177276,10498664,11449311
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2746327,2715625,2952841,3083857,3285524,3173115,3272211,3158497,3307243,3774463
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2341914,2728102,3311976,3606225,4520798,4370966,5656389,6018780,7191422,7674848
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2912003,2983824,3207343,3021576,2965705,3032174,3132885,3048179,3242667,3538456
