GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",65620003,70077978,74047011,80600720,85414532,88350899,94013833,99240369,100430146,106128618,109953858,112512651,114832729,119998013,124753577,129933482,134298772,141240175,145171029,146935309,156139920,165060542
 "11000","District of Columbia",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",42301653,44761228,47308059,52360828,55258765,57784122,62490887,65792714,64701454,67765653,70604086,73216050,75403639,79627458,83544328,87056713,90291370,95074955,98659317,97957861,104737756,111984176
 "11000","District of Columbia",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",712,624,618,716,603,778,292,118,110,359,427,557,521,478,625,1373,1968,1737,3218,3377,5689,4631
 "11000","District of Columbia",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",17991,17993,11989,5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",759178,756905,820480,878247,1000739,1107227,1204628,1261822,1441758,1513123,1381757,1213765,1199498,1199482,1228375,1217734,1307045,1480553,1477384,1545396,1934660,1779602
 "11000","District of Columbia",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",818487,991690,1022020,1060146,1072170,1050910,1053493,1097719,998194,963859,1094416,1362790,1444486,1509096,1513763,1517087,1748978,1825001,1932949,1836052,1843526,1875882
 "11000","District of Columbia",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",296665,282883,293891,325691,285134,264430,262669,249254,248250,236072,278689,227217,238783,212522,244464,267096,260062,259206,243122,250550,336395,356773
 "11000","District of Columbia",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",112930,135446,131873,150973,123523,107323,87803,78579,76927,65315,64486,68898,84259,84679,104304,123042,122914,132833,125120,137096,143405,148608
 "11000","District of Columbia",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",183735,147437,162018,174718,161611,157106,174866,170676,171324,170757,214203,158320,154524,127843,140160,144054,137149,126373,118003,113454,192990,208165
 "11000","District of Columbia",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",574265,564823,648415,687005,736906,758082,816584,861281,843143,936937,956609,1086723,1117483,1192988,1242029,1220700,1258756,1254285,1487222,1557707,1659470,1789977
 "11000","District of Columbia",2,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",801990,829788,908727,949270,1004010,1050637,1070870,1058950,1042564,1168016,1194206,1249771,1311991,1403257,1505148,1640414,1700623,1766830,1813904,1698449,1781229,1905752
 "11000","District of Columbia",2,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",444766,381514,387173,391000,394800,408890,407303,462640,447694,481345,533614,620947,583786,631895,741204,760854,761528,744716,736248,510270,512334,616622
 "11000","District of Columbia",2,CAGDP2,45,"51","  Information ","Thousands of dollars",3997311,4780682,5109905,5678625,6221062,5925057,6295758,6315449,6052694,6219769,6234353,5717224,6182790,6041233,6345236,6663826,7193777,7619623,8592172,9656948,10784011,11391013
 "11000","District of Columbia",2,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",8243146,8061429,8200862,9345608,9699676,10187235,11335939,10750517,10323444,11521805,12104486,13053334,13514640,15263355,15483414,16047312,16902156,18261865,19035931,19607229,20819454,22324890
 "11000","District of Columbia",2,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",3440540,3146241,3023243,3819522,3704703,3699058,4197149,3479602,3174270,3429880,3606141,4045038,4135682,4537451,4993448,5423706,5818623,6388909,6643137,6919097,7275635,7327703
 "11000","District of Columbia",2,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",4802606,4915188,5177619,5526086,5994973,6488177,7138790,7270915,7149174,8091925,8498345,9008296,9378958,10725905,10489966,10623607,11083534,11872956,12392795,12688133,13543819,14997187
 "11000","District of Columbia",2,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",14479180,15455169,16627614,18637241,19745668,21202143,23125617,25613904,24462523,25127000,26544122,27502674,27618930,28835893,30588009,32079706,32651431,33762336,34260578,35029604,36960717,38899955
 "11000","District of Columbia",2,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",12437646,13415318,14522147,16421611,17241468,18502545,20144725,22523235,21446330,21866656,23015045,23845783,23911144,24941230,26373719,28001560,28388273,29422611,29731966,30433051,32143180,33429981
 "11000","District of Columbia",2,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",424000,399290,295131,290565,327192,384345,485222,439972,463460,593020,541358,614664,586167,649367,810447,698294,766017,826320,877593,1002447,995752,1138021
 "11000","District of Columbia",2,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",1617534,1640561,1810336,1925065,2177007,2315253,2495670,2650697,2552733,2667324,2987720,3042227,3121619,3245297,3403842,3379852,3497141,3513405,3651019,3594107,3821785,4331954
 "11000","District of Columbia",2,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",4822948,5166820,5645022,6105255,6227608,6534455,6935875,7525404,8150286,8560675,8898275,9025808,9487729,9974984,10356256,10828931,10919990,11326207,11663066,11574310,11908402,12452172
 "11000","District of Columbia",2,CAGDP2,69,"61","   Educational services ","Thousands of dollars",1929242,2048334,2340223,2599183,2617028,2752812,2849978,3172813,3562335,3679888,3802104,3870156,4197292,4360606,4455117,4654691,4567707,4748118,4856687,4709396,4672581,4933295
 "11000","District of Columbia",2,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",2893706,3118486,3304799,3506072,3610580,3781643,4085897,4352591,4587951,4880787,5096171,5155652,5290438,5614378,5901139,6174239,6352282,6578089,6806379,6864914,7235820,7518877
 "11000","District of Columbia",2,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",2700214,2815475,2937149,3200833,3436703,3538837,3728952,3819750,3807383,4084168,4076652,4552939,4787672,5000850,5440824,5556011,5959950,6464988,6715697,3597671,4877768,6862036
 "11000","District of Columbia",2,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",616112,668024,694756,738343,780247,780166,690643,821746,844574,908577,788011,922077,885228,961671,1030168,1069927,1264577,1347084,1359713,895773,1067302,1346480
 "11000","District of Columbia",2,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",2084103,2147451,2242393,2462491,2656456,2758671,3038309,2998004,2962809,3175591,3288642,3630862,3902445,4039179,4410656,4486084,4695373,5117904,5355984,2701898,3810466,5515556
 "11000","District of Columbia",2,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",4344800,4655431,4694194,5096089,5433686,5755442,6252907,6775905,6883411,6952526,7306480,7602301,7915330,8361424,8854981,9255669,9625106,10307608,10697826,11090297,11314102,11724870
 "11000","District of Columbia",2,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",23318350,25316750,26738952,28239892,30155767,30566777,31522945,33447655,35728693,38362965,39349772,39296601,39429089,40370556,41209249,42876769,44007402,46165220,46511712,48977448,51402164,53076366
