GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",46373838,45865370,47839635,51674074,52048632,55567673,56705632,55250812,57729888,58132184,61379424,62342117,62058206,68606036,72352454,70021471,69555627,73376041,78685758,77615132,82952842,90208283
 "10000","Delaware",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",42438808,41506223,43337456,46973591,46943771,50400473,51134640,49390997,51557042,51980331,55062704,56006689,55662976,62227156,65774368,63296147,62453076,65852300,71057388,69724131,74685669,81556734
 "10000","Delaware",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",290469,169784,270184,402112,419550,332292,344405,333703,395926,378685,368437,416374,582063,641279,495450,439910,611534,624839,535213,304539,618569,1154882
 "10000","Delaware",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",10268,9015,5139,4809,1736,1309,384,772,708,944,98,466,2878,3106,3505,3620,5610,6591,6224,6376,8156,9521
 "10000","Delaware",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",579991,610970,606900,656199,633353,812975,837381,822623,877616,958375,920575,872882,886693,1004487,1045603,1053819,1061260,1033118,1057936,1161888,1276953,1396908
 "10000","Delaware",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",1620579,1664474,1753496,2106717,2350235,2499699,2327088,2252273,1846463,1589678,1709245,1731913,1850228,2056518,2315078,2449399,2596989,2707542,2962602,3000470,3179352,3323792
 "10000","Delaware",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4181097,3349524,3493339,4651709,4565833,4898249,5279079,4454379,4367598,4056978,4168978,3787339,3879352,3862322,4573434,3728584,4352102,4769296,5387026,5337133,5806176,6311608
 "10000","Delaware",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1121906,1005489,997345,1217996,1233334,1314544,1432210,1421506,1254647,1301126,1239179,1387391,1232675,1159877,1239029,1182044,1323812,1414919,1492139,1449410,1441959,1571715
 "10000","Delaware",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",3059191,2344036,2495994,3433713,3332499,3583706,3846869,3032873,3112950,2755852,2929799,2399948,2646677,2702445,3334406,2546540,3028290,3354377,3894886,3887723,4364218,4739893
 "10000","Delaware",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",1404975,1439951,1698148,1912541,2013308,2317948,2279661,2274636,2133735,2208558,2270924,2292911,2239751,2306955,2175207,2173469,1879860,1960638,2100170,2190419,2380943,2632938
