GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "18000","Indiana",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",205325079,213419588,225349293,239278532,247428291,259030296,273340792,277774533,264925012,284685817,292373833,301277378,313466853,329360894,333163758,342716636,357535761,377376881,385446228,377901091,422951913,470323577
 "18000","Indiana",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",185168414,192550245,203480692,216280241,223411995,230735850,247555440,250682299,237175489,256686742,264282215,273088793,285480286,298771161,301862910,310419090,323635677,341678677,349157655,340357362,384980487,430444973
 "18000","Indiana",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2065337,1888234,2561982,3326141,2179038,2474641,3191373,4024981,3111042,3277263,4675823,4119860,7326808,5366285,3789044,3767239,3931793,3969859,3113783,4133847,6901722,8918782
 "18000","Indiana",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",830393,814142,862104,830000,924663,1053496,1174329,1232646,1367412,1528903,1683300,1679854,1713243,1544896,1311086,1218053,1392861,1303360,1135182,1074259,1277326,1841260
 "18000","Indiana",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3956671,3790836,3852250,4203277,4346687,4904183,4712994,5057369,5555852,6190961,6365260,6372703,6609635,6871197,6630147,6772744,6720876,6761462,7073625,7143117,8287274,8697209
 "18000","Indiana",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",9369744,9291980,9891153,10677837,11294826,11506710,12206560,11500744,9819997,9479614,10344515,11941030,11997900,12149239,12902095,14086457,15743561,16647317,17970911,18470651,19840387,21667428
 "18000","Indiana",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",57758344,62010911,65664078,70069065,68999383,69073410,79710367,79363299,68950220,81489612,82975213,82622408,87469315,91808222,87885940,88764162,92861987,99022004,97996792,90665977,104823499,121900731
 "18000","Indiana",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",36387746,39519030,42493056,43579292,43760539,43275094,48111586,43307456,31949201,44880680,43725564,45706392,47222665,48701311,52326942,53089974,53918708,57882302,57920055,52615320,58949018,69490142
 "18000","Indiana",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",21370598,22491881,23171022,26489773,25238844,25798316,31598781,36055842,37001018,36608932,39249650,36916016,40246650,43106911,35558998,35674188,38943279,41139701,40076737,38050656,45874481,52410589
 "18000","Indiana",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",11127412,11293582,11607249,12332955,13356437,14166459,14741771,15450066,14385015,15413490,16364638,17320860,18030039,18647972,19536610,19379939,19857777,21390895,22323425,22560177,24978445,27621487
 "18000","Indiana",3,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",13362323,13657651,14516415,14933526,15629660,15924334,15706347,15668147,15662940,16234816,16660911,17151453,18008001,18596710,19606019,20926235,21327563,21851542,22058042,23653031,27176169,29297515
