GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",294876428,299915846,309736124,324919033,340637763,358418289,377985559,387923422,388963876,409270002,423684871,441373906,452580371,469824913,497766954,514108023,530129429,559605029,588617493,589033251,645434037,691460606
 "25000","Massachusetts",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",263400379,267060011,275794425,289509730,303523570,319387978,336316662,344209184,344288333,363945850,375388536,394640962,404165956,419723349,445883964,462125136,476636835,503505005,531267806,531418691,586624781,630220105
 "25000","Massachusetts",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",662765,686274,708180,759298,828195,1008323,955295,951129,1021689,1231439,1080374,1068519,947743,786038,835535,791891,839425,830968,876346,815128,924139,974826
 "25000","Massachusetts",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",143070,135649,133760,156131,138177,160646,246308,148991,169316,162817,165532,159109,161782,183042,206393,256411,193813,181003,231681,175385,142004,130091
 "25000","Massachusetts",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3690959,3142738,3394035,3448983,3571488,4763531,4919265,5826016,4802023,5528565,5625605,5365884,5879980,6124174,6275185,5911416,6945918,7548746,8121006,9808856,11857071,15499287
 "25000","Massachusetts",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",12776649,13020176,13072716,14010836,14945678,15142384,15089194,13990555,12666758,12077417,12577564,13725419,14837858,15778798,17636046,19166106,20870997,22211531,23897396,23142120,25034980,26297097
 "25000","Massachusetts",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",36888604,37005980,40186473,37924590,38389719,40881819,44892501,41815426,40409224,44389777,44472104,45685785,45318800,47340302,49466021,48256057,46542222,49650442,49660356,49436602,53321557,56751797
 "25000","Massachusetts",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",26956054,26423762,29518734,27774350,28035608,28876722,31717534,28703577,26383977,30651383,31151223,31405619,29933945,29767555,30872902,30984597,29281089,30090143,29995020,28731322,29688022,31090486
 "25000","Massachusetts",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",9932550,10582218,10667738,10150240,10354110,12005097,13174967,13111849,14025247,13738394,13320881,14280166,15384856,17572747,18593119,17271460,17261132,19560299,19665335,20705280,23633535,25661310
 "25000","Massachusetts",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",17211455,16385760,17307603,18336248,18391632,19963459,20849108,21771176,21294233,22209318,22790846,22942587,24076983,24875623,26189456,26639806,27287895,27112384,28039686,28085828,31921174,34595333
 "25000","Massachusetts",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",15471995,15885436,16773889,17565269,18046680,17746542,17313819,17067920,17143952,17931233,17948192,18230236,19168419,19838224,21233816,22521940,23467686,24659299,26394664,26204016,30753970,32889653
 "25000","Massachusetts",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",4734566,4920616,5253939,5742079,6055290,6108686,6313461,6363384,6217864,6612426,7094973,7191630,7509435,8116005,9276266,9704410,10714165,11040956,12058612,9476001,11421040,13450080
 "25000","Massachusetts",1,CAGDP2,45,"51","  Information ","Thousands of dollars",14049213,15339082,15032530,17125850,18665577,18677976,19947967,22742928,21722234,23990767,24551038,23997819,24801004,25041325,26479365,27051541,27916241,28381691,31918003,33816987,37265543,38617038
 "25000","Massachusetts",1,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",67927943,68266900,68702878,72103259,76332107,80343558,83501395,81305932,85913728,89440006,92278168,101258902,102345817,105166209,110215948,115685605,116875897,125350289,129962070,136798586,145002451,154789674
 "25000","Massachusetts",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",30421475,29235434,28951934,30167329,31036572,33393566,33731447,27978663,32781754,32924929,33270731,40933273,39527132,41322824,45744737,48735465,47642899,51743221,51825784,56402456,57757750,60712537
