GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",129569807,135403517,145979963,156015934,169089280,180577745,184237297,181056238,173785114,180255917,182787949,193589249,201775559,209015768,222125630,230408425,244438165,256068837,269080278,268778347,294339604,314177082
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",119326336,124476814,134519122,144208922,156818202,167637648,170281107,166426383,159406008,165854851,168245070,178912447,186399646,192867955,204884174,212185137,226160075,237088404,249724161,248937806,273823766,293254482
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",162635,180922,191172,217722,306128,370220,250669,358800,276473,185485,195699,180274,120432,118379,122217,115214,101405,103250,98376,104830,124069,130065
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",95800,100596,110188,145640,186597,241133,262947,323208,245207,248735,294780,303283,281651,324423,195425,175684,229891,177692,146980,120236,150706,184417
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",822512,849041,796787,551501,715343,861133,795867,685428,606009,684332,818527,829574,881485,923709,970915,909989,1594084,2240420,2131670,2136281,2300947,2240868
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",6919636,7142625,8774138,11577356,13246687,14766994,12458361,8892228,7718229,8626213,6002894,8716350,9602579,9852338,10952004,12151107,12983047,13563501,13801031,13090813,13963670,14652399
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",17119149,16351679,17931730,18658078,19920522,21138934,21215876,20893664,20457648,20319394,20665443,21655892,22758602,23487714,24484513,25537774,27805140,29603380,30557876,29827017,31066159,33299906
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",12052485,11655526,12752554,13003797,14431410,15217250,15610731,15194544,14839988,14614373,15175564,15802962,16588108,17603958,18397671,19540660,21921447,23452298,24365242,23823838,24827463,26731756
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",5066663,4696153,5179176,5654282,5489113,5921685,5605145,5699121,5617660,5705021,5489880,5852929,6170495,5883756,6086842,5997114,5883693,6151083,6192634,6003179,6238696,6568150
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",12437238,12482484,13331437,13970414,15051068,16013155,17116282,17332211,15806756,16764881,18101589,17717549,18686051,20352497,22428608,22309059,23580638,24171410,25743000,24829507,26778715,28954851
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",10586600,11043443,11629806,11938194,12668534,13294213,13056606,11976884,11173584,11382950,11510636,11893590,12884673,13251540,13889501,14128360,14622564,15013726,15937996,15833661,18396716,19745738
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1539012,1553259,1671006,1985764,2107649,2291916,2326826,2366884,2187938,2083747,2020862,2100668,2334509,2299218,2563058,2672206,2813381,3220042,3665079,3772730,4499768,5172109
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",5009748,5209398,5369637,6193509,6581446,6736810,7128239,7128492,6251766,6583169,6526417,6239921,7074571,7206803,7958633,8134630,9007426,9147853,10941942,11463814,12443800,13108376
