GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",205275973,217001397,226803391,243449830,261795315,273790981,282618227,292908325,298282784,313930535,324920878,331869045,339895769,351743139,367314088,386496355,399714534,410771781,419447557,413417653,446941011,480112698
 "24000","Maryland",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",165240112,173132697,180691837,195234242,210518662,219580555,225518950,232795786,235397411,247638389,255586453,261885064,268352613,277719349,290864877,308155292,318880699,327746109,334354372,324247576,354312689,382416457
 "24000","Maryland",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",720109,546493,626412,882434,795057,783314,788522,856329,833768,801642,947944,1043139,1261323,1110815,963801,883230,1059056,921037,991349,673485,1244195,1751910
 "24000","Maryland",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",180420,192791,206037,243905,291993,357897,392583,348645,194445,387888,313852,291843,244041,241891,253005,217242,257827,228711,283288,267234,298202,313652
 "24000","Maryland",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3096618,2935141,3284614,3916818,3678533,4411583,5330048,5230539,5733517,6776353,6779277,6091639,6008366,6232024,6740466,6909592,7283282,7371713,7063618,6879608,6760570,6993654
 "24000","Maryland",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",11691273,11946924,12613445,14369793,15366790,16082386,16281876,15482930,14096449,13207987,13519188,14168453,15284753,17081216,18962088,21763909,24317102,24712772,25891735,25835469,26667996,28248974
 "24000","Maryland",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",14829768,15414371,14493674,15282828,14943112,15932136,16796562,17383514,18676404,19098883,19179941,17925537,19027500,18942448,19314731,20574073,21032381,21682523,21839381,22765900,24406930,25564655
 "24000","Maryland",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",6411504,7200359,7111654,7511394,7326274,7448820,7613862,8835412,8586313,8304234,8781837,8140592,8390604,8275498,8442590,9201366,9700051,10071811,10378068,10140767,10558625,10987923
 "24000","Maryland",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",8418264,8214013,7382020,7771434,7616839,8483316,9182700,8548102,10090091,10794649,10398104,9784945,10636896,10666950,10872141,11372708,11332330,11610712,11461313,12625133,13848305,14576732
 "24000","Maryland",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10541236,10529009,11109818,12134198,13056310,13608016,13958046,14290852,13538817,14212708,14572825,15112055,15600569,16121353,17025749,17040572,17541750,18058614,19164185,18879239,20446005,21343826
