GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",349127505,363372072,376123836,388764563,402828836,402537346,410613018,391633633,371706984,393179641,408354114,426141099,441470817,456123480,479222676,494752548,505101516,525240776,536975565,530231090,576502167,622562720
 "26000","Michigan",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",310015838,322644423,334292223,345980811,357922208,356905979,364190732,343643527,323115882,343242152,359568067,377535216,392249802,406571708,427762123,443312010,452276319,471299472,481030190,473060828,517450223,560074252
 "26000","Michigan",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1631485,1698646,1819479,2499787,2258113,2580472,2714819,2755706,2215038,2813984,4139918,3276283,3944003,3412957,3192163,2805760,3120756,3160266,2798409,3377231,4824877,6233635
 "26000","Michigan",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",648334,595056,610450,749410,874779,1185230,1157674,1363478,1272406,1692412,2222448,2065973,1879685,1823150,1448319,1350572,1396032,1368433,1389145,1484494,1822577,1917679
 "26000","Michigan",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",5735233,5447700,5762211,6040309,6090587,6956899,7297631,7892564,7997644,8753740,8936077,9138673,9095735,9248854,9114651,9710166,9805631,9893714,10342927,10707620,11243289,12553104
 "26000","Michigan",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",16036843,15665447,15944283,17137638,17738275,16808864,15855144,13526178,11678402,11427915,11615506,13421165,14309962,15451253,16470354,17520773,18720044,19602094,19877114,19553524,21390004,23474012
 "26000","Michigan",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",80179925,84065251,85421469,80560394,80485318,77228700,80307519,67680965,54461261,67336881,72795667,78166212,84111045,85527745,90437322,92515891,93889717,96659578,95352119,89681815,95888955,101963250
 "26000","Michigan",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",65354407,67513525,68943231,63957766,65229690,59824502,64162904,52479457,38461705,50942826,55930691,61032347,65677303,67033142,70298864,72044331,72259726,73451021,72162090,65860429,71124501,75047709
 "26000","Michigan",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",14825519,16551726,16478238,16602628,15255628,17404198,16144615,15201509,15999556,16394055,16864975,17133865,18433742,18494603,20138458,20471560,21629991,23208557,23190028,23821385,24764453,26915541
 "26000","Michigan",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",19952778,19845829,20707683,21731133,23297515,24050498,24623172,25382979,23207767,25191632,26438942,28094314,29349471,31068278,32266160,33116726,34223830,35505026,36852867,36330165,39068814,41919604
