GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",22798037,23886001,25781137,28138836,30823727,33087982,36116105,37028017,35879955,38080334,40592281,42150166,43583985,45203769,46542386,45859434,48470545,51152051,52772510,53130696,59996725,67071874
 "30000","Montana",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",18859897,19721160,21283679,23434476,25924368,27886360,30594632,31246012,29902175,31911823,34290113,35720872,37169963,38553791,39683884,38712661,41114758,43698818,45057952,45117040,51621625,58410626
 "30000","Montana",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",714423,765167,885753,1222900,1210008,933673,1274956,1393640,1212640,1435819,1636096,1835539,2122922,2026758,1982987,1786135,1383649,1732804,1842642,1684896,1306342,2565667
 "30000","Montana",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",784193,721136,811567,1021202,1447084,1795995,2072160,2407105,1932536,2239561,2643933,2723053,2805772,2641416,1885146,1319706,1593289,1704395,1653990,1742205,2433972,2773546
 "30000","Montana",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",659803,613641,644419,682445,677098,755030,809383,855315,941339,983675,1061611,1031895,1066035,1077401,1099483,1095981,1107688,1059313,1136434,1161854,1245189,1299399
 "30000","Montana",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",1333277,1380409,1568450,1760571,2063288,2281392,2605562,2370142,2178929,1970950,1970346,2098260,2187799,2318344,2497593,2578354,2677144,2840157,3017927,3231839,3612936,4182613
 "30000","Montana",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",1392906,1270038,1597935,1806951,1974902,2159917,2728852,2138021,1567279,1930717,2570377,2618698,2586262,2890145,3148243,2254797,3251994,3762720,3022135,2317365,3176938,4018748
 "30000","Montana",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",729404,657576,708526,743953,786697,755475,804058,768697,686883,691229,738284,815969,956590,967946,1033935,1063295,1062095,1061264,1076528,1133190,1336994,1515672
 "30000","Montana",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",663502,612462,889409,1062997,1188205,1404441,1924794,1369324,880397,1239488,1832093,1802729,1629673,1922198,2114308,1191502,2189900,2701456,1945607,1184176,1839944,2503076
 "30000","Montana",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",1229388,1278438,1366605,1531983,1633840,1763788,1876552,1955329,1875014,1991420,2086289,2304843,2496293,2552627,2656809,2627338,2676640,2852812,2967030,3039168,3438185,3695167
 "30000","Montana",7,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",1761903,1877028,1929171,2039888,2278128,2425357,2517933,2528812,2445296,2587277,2612338,2709838,2806482,2902455,3101304,3281770,3449918,3609265,3832490,4116039,4648130,4925017
 "30000","Montana",7,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",946850,944981,1022058,1141316,1285042,1447419,1468119,1612861,1508508,1644229,1718847,1895751,2045568,2173625,2224891,2112530,2235902,2391967,2430727,2256690,2705096,3097284
 "30000","Montana",7,CAGDP2,45,"51","  Information ","Thousands of dollars",627337,714247,738518,835644,877488,905289,934135,972511,1014956,1077614,1039342,997734,1067000,1015016,1061155,1097739,1153954,1142274,1207883,1251662,1503326,1624648
 "30000","Montana",7,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",4056718,4333288,4593118,4896393,5578402,5939144,6292844,6460351,6477421,6996542,7473679,7436181,7730895,8242533,8633602,8736155,9066553,9518951,10049803,10448147,11365881,12244424
 "30000","Montana",7,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",1103903,1253785,1341489,1368729,1555431,1676330,1729360,1680189,1723954,1734427,1810576,1919553,1889609,2099352,2180672,2354426,2429920,2537385,2688650,2769167,3038029,3273138
 "30000","Montana",7,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",2952815,3079504,3251629,3527663,4022971,4262814,4563484,4780162,4753467,5262115,5663103,5516628,5841286,6143181,6452930,6381728,6636633,6981567,7361153,7678980,8327853,8971286
 "30000","Montana",7,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",1510369,1637872,1743781,1821138,1980052,2189690,2469262,2693973,2631534,2789245,2961944,3221957,3082564,3200765,3371820,3430322,3634479,3832124,4099245,4322789,5043854,5810788
 "30000","Montana",7,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",996329,1099957,1151538,1201124,1302529,1414892,1562660,1733735,1676871,1757199,1854947,2041118,1981680,2085042,2199231,2266435,2397738,2516036,2723673,2901811,3313709,3816134
 "30000","Montana",7,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",70178,72966,75175,65425,69754,80624,108419,130587,138049,149971,176831,201572,206877,198403,217120,214977,220555,224900,233115,244310,305743,282575
 "30000","Montana",7,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",443862,464949,517068,554589,607770,694174,798182,829651,816614,882075,930166,979267,894007,917319,955468,948910,1016186,1091188,1142457,1176669,1424402,1712080
 "30000","Montana",7,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",2048484,2241983,2366606,2544248,2703913,2920131,3061989,3368879,3625114,3753921,3903828,4054252,4233472,4363111,4663176,4932194,5287809,5446304,5746944,5860345,6370609,6739923
 "30000","Montana",7,CAGDP2,69,"61","   Educational services ","Thousands of dollars",107526,111011,117048,131463,134584,154576,161334,171965,189521,195538,215832,220127,227834,238353,243318,255015,262271,274385,286027,272235,314670,346266
 "30000","Montana",7,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",1940958,2130972,2249558,2412785,2569329,2765555,2900655,3196914,3435593,3558383,3687997,3834125,4005638,4124758,4419858,4677179,5025538,5171919,5460917,5588110,6055939,6393658
 "30000","Montana",7,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1124906,1221282,1305400,1390054,1424075,1553844,1651105,1657535,1656012,1665820,1757720,1907027,2024951,2177844,2333551,2402663,2481103,2615341,2789810,2440629,3401044,3919655
 "30000","Montana",7,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",278446,305517,340928,351864,376889,423094,462859,477106,479400,469239,480094,489796,498966,553472,558099,580472,621867,645269,665095,589570,875134,898706
 "30000","Montana",7,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",846459,915765,964471,1038190,1047186,1130750,1188246,1180429,1176612,1196581,1277625,1417231,1525984,1624372,1775453,1822191,1859235,1970071,2124715,1851059,2525910,3020949
 "30000","Montana",7,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",669340,721650,710299,739745,791049,815691,831780,831540,835594,845033,853765,885844,913946,971753,1024125,1056979,1114635,1190391,1260894,1243412,1370125,1513747
 "30000","Montana",7,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",3938140,4164841,4497458,4704360,4899359,5201621,5521473,5782005,5977780,6168511,6302167,6429294,6414022,6649978,6858502,7146773,7355787,7453233,7714558,8013655,8375099,8661248
 "30000","Montana",7,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",1498616,1486304,1697319,2244102,2657091,2729669,3347116,3800746,3145176,3675379,4280029,4558593,4928694,4668174,3868132,3105841,2976938,3437199,3496632,3427100,3740313,5339212
 "30000","Montana",7,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",2991291,3155466,3295775,3571871,3911968,4189145,4394485,4484141,4320311,4578697,4698627,5014681,5302775,5455082,5758113,5909108,6126558,6462077,6799520,7155207,8086314,8620184
 "30000","Montana",7,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",1606653,1558621,1666477,1823760,1962140,2202449,2277502,2468176,2449847,2627905,2780457,2927646,3111604,3251026,3324375,3208511,3343590,3451279,3567160,3418545,3950284,4396683
 "30000","Montana",7,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",2020244,1984285,2336453,2642594,2852390,3065205,3662987,3110531,2582235,3008331,3609718,3616432,3653262,3905161,4209398,3352536,4405949,4904994,4230018,3569027,4680264,5643396
 "30000","Montana",7,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",4224799,4136750,4863704,5811623,6695281,7170978,8681530,8308908,6891385,7577047,8820752,9275551,9702756,9876662,9513968,7938992,8906076,10040076,9536693,8976305,10530187,13540574
 "30000","Montana",7,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",14635098,15584410,16419975,17622854,19229087,20715383,21913102,22937104,23010790,24334777,25469361,26445321,27467207,28677129,30169916,30773670,32208681,33658742,35521259,36140736,41091438,44870052
 "30001","Beaverhead, MT",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",217117,200472,221945,250629,290289,281455,296847,298399,308450,299253,329274,325516,366597,407074,422179,409514,373146,376456,430182,426185,436165,541394
 "30001","Beaverhead, MT",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",173694,155701,171565,197917,235520,224767,237547,240009,248026,240960,267874,263061,302583,341812,351396,334071,296612,300401,352463,344755,349556,452663
 "30001","Beaverhead, MT",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",28763,(D),(D),24756,36766,6785,8758,3125,13325,4692,11221,38838,60715,96688,107180,94086,48490,44390,(D),(D),27646,81974
 "30001","Beaverhead, MT",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",14246,12378,14222,16147,21440,25773,30170,27570,28293,26519,26621,23371,19762,18922,17471,13356,19143,19419,21228,27953,(D),27875
 "30001","Beaverhead, MT",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",1828,1903,1831,1852,1877,2028,2032,2141,2165,2206,2303,2260,2516,2467,2472,2644,2607,2336,2465,2446,(D),(D)
 "30001","Beaverhead, MT",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",8399,8708,9444,9795,14757,13116,12238,13114,13978,13569,12041,13150,13411,14667,14128,14938,14369,15515,15396,17129,19216,55282
 "30001","Beaverhead, MT",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",2224,2485,1899,1934,1676,1667,2074,2396,2833,2540,2029,2267,3561,3987,3513,3603,3253,3893,4420,4470,4611,4879
 "30001","Beaverhead, MT",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1026,1443,1204,1129,1015,845,1109,1255,1567,1091,897,847,1016,1157,1157,1189,1027,939,901,1120,1261,1477
 "30001","Beaverhead, MT",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1198,1042,695,805,661,822,965,1141,1266,1449,1133,1420,2545,2830,2356,2414,2227,2954,3519,3350,3350,3401
 "30001","Beaverhead, MT",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",5089,6463,7143,7779,9104,10585,11242,12064,11673,11728,9673,9434,12552,14396,15618,15649,16179,17457,17374,17785,18913,19817
 "30001","Beaverhead, MT",7,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",12221,12553,13215,13044,13111,13518,15343,17525,15795,17159,18374,23438,25608,25986,24517,27128,29437,34530,40253,40207,41177,43994
 "30001","Beaverhead, MT",7,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "30001","Beaverhead, MT",7,CAGDP2,45,"51","  Information ","Thousands of dollars",3135,3265,3250,3128,3428,3612,3867,4448,4904,5093,4820,4136,3934,4056,4492,5317,5082,4885,5097,4916,5542,6053
 "30001","Beaverhead, MT",7,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",59616,63566,67683,75769,90148,101768,104044,107755,102339,104209,124594,87883,96082,93323,92178,86507,84606,83569,94309,95225,95331,(D)
 "30001","Beaverhead, MT",7,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",11023,12860,13558,10321,11175,12060,12238,12180,12350,12600,13528,14551,14098,15225,15623,17089,18321,19611,20699,20735,21360,21452
 "30001","Beaverhead, MT",7,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",48593,50706,54125,65448,78973,89709,91805,95575,89989,91609,111066,73332,81984,78098,76555,69418,66285,63958,73610,74490,73971,(D)
 "30001","Beaverhead, MT",7,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",4712,5886,6612,6060,6255,6959,7360,7816,7667,8883,9223,(D),(D),(D),(D),(D),(D),(D),12306,13273,14617,20622
 "30001","Beaverhead, MT",7,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",3627,4774,5394,4655,4661,4869,4971,5481,5209,5542,5402,5428,8872,9326,8170,7932,8386,7345,9955,10650,11232,12450
 "30001","Beaverhead, MT",7,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),0,0,0,0
 "30001","Beaverhead, MT",7,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",1085,1112,1219,1405,1594,2090,2389,2335,2458,3341,3821,(D),(D),(D),(D),(D),(D),(D),2351,2624,3386,8171
 "30001","Beaverhead, MT",7,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",13990,15514,16181,(D),(D),(D),(D),(D),(D),(D),(D),30506,31539,31779,32349,33358,34722,36454,40064,40832,41872,40962
 "30001","Beaverhead, MT",7,CAGDP2,69,"61","   Educational services ","Thousands of dollars",63,65,69,(D),(D),(D),(D),(D),(D),(D),(D),158,(D),(D),315,565,628,688,821,812,924,1027
 "30001","Beaverhead, MT",7,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",13927,15449,16112,(D),(D),(D),(D),(D),(D),(D),(D),30348,(D),(D),32034,32793,34093,35766,39244,40020,40949,39935
 "30001","Beaverhead, MT",7,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",(D),10733,10371,10864,10782,11490,11722,11947,12736,12013,11622,11835,12180,13259,15451,16255,17021,16983,18020,16268,21972,25441
 "30001","Beaverhead, MT",7,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",(D),3087,2600,2271,2309,2443,2731,2467,2714,2236,1909,1659,1847,1934,2511,2587,2999,3187,3726,3711,5460,7322
 "30001","Beaverhead, MT",7,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",7267,7645,7771,8593,8473,9046,8991,9480,10021,9777,9712,10176,10333,11325,12940,13667,14021,13796,14294,12556,16512,18118
