GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",80968626,85540988,91365029,104132046,117165142,126613448,132045444,130570872,122471236,125149048,128638377,130238235,133592513,136918418,145786826,153317988,163199058,172547939,184343890,175982032,200127299,222938572
 "32000","Nevada",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",72567401,76652633,81561064,93403897,105854381,114399932,118938199,116759066,108249665,110405729,113954929,115576418,118548358,121360963,129440358,136233473,145653316,154417405,165205618,156356238,179685107,201410048
 "32000","Nevada",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",211212,180010,191102,243529,248774,260937,222406,288006,264829,284217,369260,292881,294438,384099,304413,250671,285115,286807,341236,289083,424451,264492
 "32000","Nevada",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1252793,1325167,1478384,1812451,2128926,3277439,3455420,4077911,3898223,5195284,6440310,5735174,4430037,3415694,2606063,2946388,4027741,3464329,3616393,4674107,5167093,4620146
 "32000","Nevada",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",1500635,1559358,1626841,1872667,1738896,2052534,2087186,2131439,2387978,2413723,2304448,2286454,2346125,2457718,2502457,2398023,2383429,2329621,2479089,2462807,2671794,3518750
 "32000","Nevada",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",6592871,6648914,7555300,9727967,12479920,13417302,13217284,10729677,9124277,7602115,6797026,5250790,5321693,6130793,7531228,8814378,10717362,11954799,13915310,15044545,16069362,17894902
 "32000","Nevada",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",2869659,3156207,3418163,4515020,5035800,5304594,6172858,6167057,5476172,5135982,5300971,6018394,6147579,6072122,5799214,5978108,7080999,7478911,7828748,7865510,8615986,9985044
 "32000","Nevada",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1647086,1991640,2204408,3239410,3749659,3845546,4695207,4757568,4013935,3771403,3966358,4677817,4658165,4406572,4121826,4144693,5087838,5347416,5646728,5743891,6224454,7091170
 "32000","Nevada",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1222573,1164567,1213755,1275610,1286141,1459048,1477651,1409489,1462238,1364579,1334613,1340577,1489414,1665551,1677387,1833415,1993161,2131494,2182019,2121619,2391533,2893874
 "32000","Nevada",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",3486679,3554117,3671701,4239042,4804858,5074489,5246476,5348173,4810580,4765757,4932094,5261502,5412584,5733520,6055346,6358670,6999035,7579514,7999330,8060995,8623759,9441439
 "32000","Nevada",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",6345968,6652639,6736244,7448252,8702673,9016683,8858070,8357401,7646902,7877940,8292713,8630966,9273270,9803659,10384379,11240885,11811519,12537534,13388339,13938065,15626629,16527767
 "32000","Nevada",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",2396224,2644149,2754159,3518293,3917065,4236393,4301390,4530782,4631899,5335309,5296245,5611172,5612028,6125353,6779112,7051452,7430445,7580618,8038049,6068483,8717245,10914116
 "32000","Nevada",8,CAGDP2,45,"51","  Information ","Thousands of dollars",2200533,2336739,2326288,2569313,2930033,2805110,2934169,2958193,3194077,3419841,3386211,3280438,3060258,3621055,3762385,4260076,4194334,4528326,5297216,4858554,6169593,6141674
