GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",780206165,796357278,840860776,921230705,1003745898,1108236508,1198565001,1253141987,1179168068,1255660779,1351776915,1429588040,1526781923,1592177622,1585985897,1582981519,1667313043,1808026912,1860108345,1798596134,2087490855,2402137188
 "48000","Texas",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",692013318,701578482,740429538,816987772,893744504,992190503,1074350293,1121187524,1039056016,1109501354,1204768676,1277862693,1369999223,1430332562,1416514366,1406855038,1484755038,1619068427,1666557044,1593447780,1874779567,2179731518
 "48000","Texas",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",6250974,6921623,8385018,9692709,8264575,7280736,8197329,6236494,5480755,8967568,8370049,8169373,10349804,10336086,11952752,8887946,9894525,9425508,8274973,8046502,12057472,11217389
 "48000","Texas",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",51913024,48036334,62361023,72722595,99255332,116107927,137362567,177832944,112342382,122078490,146517214,159580921,186623527,205863044,122982783,97022549,122486799,152549328,145138846,87982637,161922987,235643444
 "48000","Texas",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",20188849,18052618,18968239,19691456,19715828,22945248,22867639,22053696,22463199,24488423,26541797,24736560,25384008,25713557,26018289,26439748,28206539,29832188,30955999,28533731,35557618,41395504
 "48000","Texas",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",41465721,42387294,44000350,43574554,49344239,56929796,64643012,64904873,59922577,55866646,57114485,63763011,68256082,75444948,81283792,85473979,88478080,90541802,97630517,97279996,101494910,110223293
 "48000","Texas",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",106042343,105120670,109168621,141799271,146492259,168722075,182528845,165146989,156405129,178999001,207522291,205945446,220031777,196049252,201786455,187456159,198838443,233772592,212507044,184457814,221363904,268988436
 "48000","Texas",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",54080626,55912978,55087638,65729861,71184980,83551639,84554871,89585629,80453171,85579762,95888992,94630611,99857678,101477293,97090839,96412853,98840185,107955276,106136376,97677410,100064634,114073136
 "48000","Texas",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",51961717,49207692,54080983,76069410,75307279,85170436,97973974,75561360,75951958,93419239,111633299,111314835,120174098,94571960,104695616,91043306,99998258,125817316,106370668,86780404,121299271,154915300
 "48000","Texas",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",51898185,50647772,52159329,60269184,66878338,73776373,81157566,86988336,84146764,92559675,101571664,115444617,121664439,127194228,132389504,131080031,132373699,140492719,150121785,153242996,162797415,184925351
 "48000","Texas",6,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",52732690,54530099,56116150,56663868,60659234,64056063,64851382,65173461,65884545,68627158,70739528,76666606,82237932,87429709,93991126,97531037,99986162,104145895,107437605,113572340,134540057,148017336
 "48000","Texas",6,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",33222994,29160107,30079967,32945112,34750069,38296099,39113570,42196691,39692290,43734702,45831515,50422037,49728268,53307664,58603421,60251443,64183277,67914813,70583927,63888070,77020041,93625426
 "48000","Texas",6,CAGDP2,45,"51","  Information ","Thousands of dollars",34488189,36879764,38081369,40587078,41295283,43496209,52140122,54471990,50767463,50584853,50811988,49925278,54603258,54047143,59754755,60914532,65222717,67905043,73691517,75730409,85102760,94384027
 "48000","Texas",6,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",123796563,130525968,136332070,142026618,157765608,171429192,175118249,170688271,173683807,181994043,193367663,209528542,220959561,240491610,250609774,263273158,267504957,291766202,309256780,344480578,385300313,430804317
 "48000","Texas",6,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",43080156,44457234,46797482,48087892,53049743,55727094,55230199,52222946,55480454,57994947,60381064,70896455,72217639,80203460,86065081,93567843,88248010,96433867,101872978,106411206,125031884,137948602
 "48000","Texas",6,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",80716407,86068734,89534589,93938726,104715865,115702098,119888050,118465326,118203353,123999095,132986599,138632087,148741922,160288151,164544693,169705315,179256947,195332336,207383802,238069371,260268429,292855715
