GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",19467054,20383453,21398541,22986311,23762979,24507147,25025200,26140412,26219975,27478324,28558499,29325594,29477637,30359428,31152380,31840218,32589227,33482622,34628127,34470767,37593481,40830759
 "50000","Vermont",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",16880576,17635397,18438148,19807921,20420010,21005370,21410801,22345123,22368312,23559820,24443017,25231163,25185823,26027366,26697915,27323359,27990847,28736796,29752388,29382567,32332486,35356492
 "50000","Vermont",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",316356,255586,285006,366683,373714,318317,421751,433992,302917,388938,487318,452040,509601,561434,432589,397956,421934,384784,449847,369993,459731,705349
 "50000","Vermont",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",67127,72532,94756,90993,119146,147253,145051,154471,211441,234603,231563,190535,166791,162847,163343,148563,175469,110772,98293,153696,152855,170363
 "50000","Vermont",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",422136,422850,426497,496219,483944,519511,551014,560129,676441,750929,673155,702312,741052,741820,749992,630409,611144,662243,650953,717117,818135,887562
 "50000","Vermont",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",958277,976525,1007706,1136620,1177511,1221575,1181943,1063204,1066812,1052702,1087344,1099829,1070729,1068908,1095398,1155899,1195383,1196870,1239133,1197585,1303817,1383946
 "50000","Vermont",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",2985682,2908302,2896669,2949823,2876278,3111618,2685074,2932894,2629660,2991222,3134394,3304116,2688369,2629758,2816758,2696373,2939948,3098012,3090896,3130156,3346415,3474408
 "50000","Vermont",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2319609,2246483,2251606,2270528,2203538,2314847,1861951,2063216,1869500,2212444,2322339,2534123,1885715,1739519,1755950,1652644,1856013,1988562,1905458,1877852,2120417,2340283
 "50000","Vermont",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",666072,661819,645063,679295,672740,796770,823123,869677,760160,778778,812055,769994,802654,890239,1060808,1043729,1083935,1109450,1185438,1252304,1225999,1134125
 "50000","Vermont",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",932736,979325,1084830,1158240,1172029,1184562,1204114,1229337,1214973,1329777,1408924,1479203,1514772,1508228,1571181,1662618,1617563,1677888,1805496,1821771,1928713,2064280
 "50000","Vermont",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",1623211,1715162,1797232,1910452,1999002,1990669,1973673,2000913,1955500,2018864,2061695,2079583,2196157,2265064,2395546,2485454,2589038,2682524,2748036,2843075,3182552,3440500
 "50000","Vermont",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",395937,408901,427127,461103,487966,499327,499491,510282,485570,505063,524201,520158,511565,530140,536545,535264,559254,580020,599638,567080,654712,729675
 "50000","Vermont",1,CAGDP2,45,"51","  Information ","Thousands of dollars",569890,631652,657952,743870,753140,718474,781871,924542,950280,960687,913767,857755,912864,861935,842231,852255,832075,785857,879954,868725,952853,1022257
 "50000","Vermont",1,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",3514694,3782055,4002880,4280428,4526432,4593264,4984710,5065397,5297572,5547335,5773366,5969764,5943907,6563184,6452578,6629846,6456969,6390376,6577998,6688640,7007212,7466257
