GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",188662822,195541523,203814049,216370356,226937468,237571894,245837695,246493009,246323775,256159466,265443985,276253420,283791383,296169922,308304500,315419992,321886779,335144306,347398630,343782951,369032449,396209279
 "55000","Wisconsin",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",166995435,172756055,179778574,191461162,201126907,210674348,217523657,216809470,215301097,224244789,233303797,243250881,250898775,262325467,274241122,280948711,287076413,299082031,310300276,305835560,329546448,355504837
 "55000","Wisconsin",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2882686,2695980,3083244,3894881,3420952,3383765,4391315,3773513,2774658,3754214,5168510,4961745,5553702,5709255,5378596,4551741,4828140,4786421,4479609,4796872,6212114,8474761
 "55000","Wisconsin",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",264523,291456,314021,396003,388534,499614,472303,472908,486098,618747,528806,491978,580858,953687,1275775,576460,648379,1049867,738251,527931,568659,861703
 "55000","Wisconsin",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3283543,3142797,3318019,3614508,3533857,4006053,4094254,4559454,4610812,4965694,5271705,5174984,5408437,5545943,5462365,5482337,5474080,5233666,5191183,5124348,5299293,6032687
 "55000","Wisconsin",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",8684668,8763444,9257709,10066848,10577278,10581016,10857099,10323786,9425466,8535038,8395092,9001813,9769917,10590223,11602703,12366271,13297084,14131108,15020677,15224839,16141497,17280451
 "55000","Wisconsin",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",42971472,43018913,43599969,45098053,46695443,50113976,49716405,46559335,44686811,48019964,50056109,53966528,55647696,56641208,57972031,57641832,56187780,57579753,60092996,58466983,61985350,65722887
 "55000","Wisconsin",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",24690232,24259872,25763885,26901911,28658091,30389818,30205668,28236824,23846373,27009412,29870887,32389086,33893602,32811610,33470649,32347942,32951948,33601718,34729421,31748753,34779369,36730016
 "55000","Wisconsin",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",18281239,18759041,17836084,18196141,18037351,19724158,19510736,18322511,20840439,21010553,20185221,21577442,21754094,23829598,24501382,25293890,23235832,23978036,25363575,26718230,27205982,28992871
 "55000","Wisconsin",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10516563,10709702,10855449,11998098,12920423,13655491,14103541,14949066,14284299,15010041,15564758,16493849,17368031,17867555,18713456,19006670,19831818,20958823,20998844,21863561,23589606,25763346
 "55000","Wisconsin",3,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",13266880,13784195,14301196,14350438,14619664,14980837,14752978,14681202,14424456,14540283,15009737,15138415,16278914,16828565,17903277,18735248,19349084,20032528,20590720,21805890,24533299,26574275
 "55000","Wisconsin",3,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",5849397,5962344,6288511,6704033,7127354,7495438,7207403,7164374,6959543,7416059,7688053,7851810,8338116,8885261,9511385,9684459,10250337,10719829,11001895,10627053,12315496,13881911
 "55000","Wisconsin",3,CAGDP2,45,"51","  Information ","Thousands of dollars",5354814,5977093,6095918,6948005,7376359,7551980,8039952,8505134,8503376,8719716,8944593,8753769,9383999,9710832,10507428,10846612,11042553,11170728,12692220,12744581,13639702,14650578
 "55000","Wisconsin",3,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",34160153,35833808,37685779,40376163,44193457,45247220,48251772,46837976,49707223,51262960,52810758,55263645,54036141,59006751,61942427,64568986,65524917,68079810,69945506,68432935,70511611,74450449
 "55000","Wisconsin",3,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",11609185,11959372,13019384,14744106,16854432,17268320,18349164,15683305,17201351,17754529,18224949,20127637,18411496,23372495,25987399,27761198,27450530,28862188,29996257,28385488,28412282,30166715
 "55000","Wisconsin",3,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",22550968,23874436,24666395,25632057,27339025,27978900,29902608,31154670,32505872,33508431,34585809,35136008,35624645,35634256,35955028,36807788,38074387,39217622,39949249,40047446,42099329,44283734
 "55000","Wisconsin",3,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",14363134,15217789,16162342,17233546,18252518,19573319,21018393,22373382,21339601,22765247,23817791,24751123,25793487,26902464,28489397,30034399,31234852,33316614,34481898,33984993,36934198,39703865
 "55000","Wisconsin",3,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",7192952,7700063,7975962,8398984,8896929,9489281,10197116,11243924,10679215,11105286,11278670,11796078,11926624,12364015,13270806,13662777,14263389,15281352,16269616,16223697,18002082,19679606
 "55000","Wisconsin",3,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",3433689,3651567,4148949,4421257,4486910,4948492,5178778,5195757,5255410,5768520,6239949,6607212,7212109,7613297,8177586,9113222,9070718,9557497,9524713,9492443,9947674,9949652
 "55000","Wisconsin",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",3736494,3866158,4037430,4413305,4868679,5135546,5642499,5933702,5404976,5891441,6299172,6347832,6654753,6925152,7041004,7258400,7900746,8477765,8687569,8268852,8984442,10074607
 "55000","Wisconsin",3,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",15271391,16560210,17805566,19253243,19950114,21029759,21924587,23760990,25246408,25529048,26485137,27294271,28132364,28229206,29364692,30802388,32000999,33425357,35170480,34822272,36968087,38872695
 "55000","Wisconsin",3,CAGDP2,69,"61","   Educational services ","Thousands of dollars",1573734,1631203,1790309,1998837,1997936,2144425,2292850,2542489,2848642,3017604,3148125,3231123,3300153,3321378,3344037,3548168,3514409,3688033,3909034,3653124,3873284,4053010
 "55000","Wisconsin",3,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",13697656,14929006,16015257,17254406,17952178,18885334,19631736,21218501,22397766,22511444,23337012,24063148,24832211,24907827,26020655,27254220,28486590,29737324,31261446,31169148,33094803,34819685
 "55000","Wisconsin",3,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",5411735,5712128,5978577,6246822,6597645,6937554,7029390,7167783,7178553,7385042,7775500,8160135,8494965,9059710,9439549,9748384,10155012,10908128,11856904,9530355,12495434,14092867
 "55000","Wisconsin",3,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",1229503,1319219,1409345,1471764,1618143,1783823,1818362,1862378,1825159,1916815,2045418,2104320,2172491,2271572,2113721,2200933,2329789,2668118,2804541,2105499,2744720,3389655
 "55000","Wisconsin",3,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",4182231,4392909,4569232,4775058,4979502,5153731,5211028,5305405,5353395,5468227,5730082,6055815,6322474,6788137,7325828,7547451,7825223,8240010,9052362,7424856,9750714,10703211
 "55000","Wisconsin",3,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",4714476,5086196,5032274,5280522,5473309,5618327,5664266,5680566,5673792,5722738,5787248,5946816,6112147,6394809,6678043,6902923,7251377,7689400,8039092,7882949,8352102,9142362
 "55000","Wisconsin",3,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",21667387,22785468,24035476,24909194,25810561,26897546,28314038,29683539,31022677,31914677,32140189,33002539,32892608,33844455,34063377,34471281,34810366,36062275,37098354,37947391,39486000,40704442
 "55000","Wisconsin",3,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",3147209,2987436,3397264,4290883,3809486,3883379,4863618,4246421,3260755,4372961,5697316,5453723,6134559,6662942,6654371,5128201,5476519,5836288,5217861,5324803,6780773,9336465
 "55000","Wisconsin",3,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",23783444,24493897,25156644,26348536,27540087,28636328,28856518,29630269,28708755,29550324,30574496,31632265,33646946,34696120,36616732,37741918,39180902,40991350,41589565,43669451,48122905,52337621
 "55000","Wisconsin",3,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",9132940,9105141,9606531,10318541,10661210,11501491,11301657,11723828,11570356,12381753,12959758,13026794,13746554,14431204,14973750,15166796,15724418,15953495,16193078,15751401,17614789,19914598
 "55000","Wisconsin",3,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",48326286,48996007,49695887,52046058,54071801,57665956,57756356,55064469,53190188,56739681,59000701,62720297,65031695,66352039,68479459,68488444,67230333,68750481,72785216,71211564,75625052,80373465
 "55000","Wisconsin",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",54803348,54769793,56254942,59455784,61082207,64578370,65437122,61129542,57373033,60927962,64148517,68422063,71552173,73894373,76229105,75136304,74961383,77547150,80331534,79016625,84907620,92339803
 "55000","Wisconsin",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",112192087,117986261,123523632,132005379,140044701,146095978,152086536,155679928,157928064,163316826,169155280,174828818,179346602,188431095,198012017,205812406,212115031,221534882,229968743,226818935,244638828,263165035
 "55001","Adams, WI",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",348080,408179,414507,410662,449728,487746,466614,467887,540751,532988,483406,524292,516544,498771,512996,544179,529158,548516,613378,627984,648318,663785
 "55001","Adams, WI",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",283593,340722,342237,334939,370509,405819,381131,378546,447693,437597,387241,429634,423466,402318,414770,445147,430990,447143,511146,519427,536508,547562
 "55001","Adams, WI",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",40807,66641,65857,41912,57866,72501,54179,(D),53073,(D),(D),(D),36321,3418,15614,18059,7418,10269,(D),30046,26209,13978
 "55001","Adams, WI",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),0,0,0
 "55001","Adams, WI",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",10229,11315,10103,11143,10325,11491,11551,12430,13061,14631,15694,12396,13813,15595,13687,16806,15539,14661,15917,15096,13956,14277
 "55001","Adams, WI",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",17042,17674,19162,23739,35158,29202,21460,14410,11384,9027,11214,14164,13996,13691,14548,16462,18419,18257,25193,22887,19813,22250
 "55001","Adams, WI",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",33661,38045,38723,37069,36075,38035,35839,(D),83817,(D),(D),(D),36633,39223,34703,39336,34419,33556,69985,81420,75282,74852
 "55001","Adams, WI",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3016,2743,2646,2932,2775,3240,3140,3521,3893,3915
 "55001","Adams, WI",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),33617,36481,32056,36404,31645,30316,66844,77899,71389,70938
 "55001","Adams, WI",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",7203,7740,8612,9483,11838,12067,11331,10463,10230,10994,11773,11947,13161,13859,14095,14501,(D),(D),(D),14462,14248,14752
 "55001","Adams, WI",3,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",16040,17158,17177,16249,16041,16740,17593,18905,19045,19776,20307,21149,22635,22701,22694,22719,25169,27092,28400,30084,31765,34611
 "55001","Adams, WI",3,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20281,20936,(D),(D),(D)
 "55001","Adams, WI",3,CAGDP2,45,"51","  Information ","Thousands of dollars",3044,3387,3265,3271,3200,2743,2525,2231,1978,1733,1567,1406,(D),(D),(D),844,(D),(D),(D),2790,3081,(D)
 "55001","Adams, WI",3,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",97569,115176,113820,122314,123698,137979,140188,150234,162483,176958,163415,197436,184630,187050,183847,196569,186488,192909,201764,198151,204703,206661
 "55001","Adams, WI",3,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",4664,6235,5663,5327,5845,5974,5311,5341,6204,6178,(D),7693,6867,7555,8349,8980,10163,11201,11666,9860,10052,11053
 "55001","Adams, WI",3,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",92904,108941,108157,116987,117852,132005,134877,144893,156279,170781,(D),189743,177763,179495,175498,187589,176325,181708,190099,188291,194651,195608
 "55001","Adams, WI",3,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",7872,8763,9683,9824,(D),(D),(D),(D),(D),(D),(D),(D),10476,11775,11749,(D),12617,14098,14486,(D),(D),13848
 "55001","Adams, WI",3,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7441,7625
 "55001","Adams, WI",3,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55001","Adams, WI",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",4073,4171,4450,3738,3587,3297,3532,3986,3954,4188,4771,5166,4786,5077,4788,4350,4677,4841,4746,(D),(D),(D)
 "55001","Adams, WI",3,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",13644,14594,15755,17104,17571,18168,18401,18957,18027,17701,18442,19306,19885,23085,24433,25521,26954,28016,28903,28989,30835,31638
 "55001","Adams, WI",3,CAGDP2,69,"61","   Educational services ","Thousands of dollars",173,(D),(D),231,211,388,329,303,344,358,311,418,443,477,423,411,433,509,(D),(D),(D),(D)
 "55001","Adams, WI",3,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",13471,(D),(D),16872,17360,17780,18072,18655,17683,17343,18131,18887,19441,22608,24010,25110,26521,27507,(D),(D),(D),(D)
 "55001","Adams, WI",3,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",(D),(D),(D),(D),24614,31527,34093,38620,39660,45825,49262,48577,44467,42396,45695,49662,55644,57126,62612,51160,69944,80705
 "55001","Adams, WI",3,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",(D),(D),(D),(D),4627,5571,6560,7041,6538,8538,8987,9051,6769,5627,(D),4506,4432,4409,5102,5070,8812,10754
 "55001","Adams, WI",3,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",17705,18162,17135,15605,19987,25956,27533,31580,33122,37287,40274,39527,37698,36769,(D),45156,51212,52717,57510,46090,61133,69951
 "55001","Adams, WI",3,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",8554,9377,9616,11881,12238,12435,12383,12459,12742,12118,12021,11337,10448,11122,12130,13874,(D),14254,14760,15539,16428,18032
 "55001","Adams, WI",3,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",64487,67457,72270,75723,79219,81927,85483,89341,93058,95390,96164,94658,93078,96453,98226,99032,98168,101373,102232,108557,111810,116222
 "55001","Adams, WI",3,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",40807,66641,65857,41912,57866,72501,54179,(D),53073,(D),(D),(D),36321,3418,15614,18059,7418,10269,11781,30046,26209,13978
 "55001","Adams, WI",3,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",23242,24898,25789,25732,27879,28807,28924,29369,29275,30770,32080,33096,35796,36561,36789,37220,(D),(D),(D),44546,46013,49363
 "55001","Adams, WI",3,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34943,36853,(D),(D),(D)
 "55001","Adams, WI",3,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",36704,41432,41988,40340,39275,40778,38364,(D),85794,(D),(D),(D),(D),(D),(D),40179,(D),(D),(D),84210,78363,(D)
 "55001","Adams, WI",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",91509,122360,123742,102720,129100,139738,111477,93305,148274,112270,70081,80966,86950,56332,64865,73856,60256,62082,106958,134353,121304,111081
 "55001","Adams, WI",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",192084,218362,218496,232218,241409,266082,269654,285241,299419,325327,317161,348668,336516,345986,349905,371290,370734,385061,404188,385074,415204,436481
 "55003","Ashland, WI",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",467767,474787,503451,543351,570924,595345,617664,636486,639936,634811,654866,680117,692381,699489,699949,721677,741338,736619,773726,749185,781204,824236
 "55003","Ashland, WI",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",377939,379463,402433,437031,460845,478927,496654,510248,507217,501586,521635,544364,561159,562826,560201,579157,605838,597699,630686,607042,633158,664909
 "55003","Ashland, WI",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",10547,9943,12455,16367,18332,21048,17245,16443,8243,11697,11598,14339,14825,18795,17079,23643,19957,13546,14753,15023,12881,12613
 "55003","Ashland, WI",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,13,0,0,0
 "55003","Ashland, WI",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22967,20472,21240,19528,18107,17658,19065,18295,19881,(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",20725,29220,30043,30652,32537,41502,55513,55331,62244,34044,34376,44464,45833,41258,42122,43310,50770,36144,36321,36813,37992,41981
 "55003","Ashland, WI",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",67499,56589,64197,71026,71916,78671,82146,86958,74604,80223,91489,98595,105403,99761,103475,102573,100998,106588,105483,103778,102270,102629
 "55003","Ashland, WI",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",62538,50973,59219,67252,67514,(D),(D),(D),(D),74579,86230,94247,102170,93440,95631,95965,98116,102820,101735,94819,92373,93114
 "55003","Ashland, WI",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",4961,5617,4978,3774,4401,(D),(D),(D),(D),5645,5259,4348,3233,6321,7844,6607,2882,3768,3748,8958,9897,9515
 "55003","Ashland, WI",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25727,25181,24781,24613,23700,24838,26568,27981,(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",38329,37708,39714,39136,40390,40633,39522,38241,38986,40444,42794,44448,46635,48205,50024,52262,55798,57416,58285,59986,66935,71480
 "55003","Ashland, WI",3,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",16148,14748,16418,15803,16154,17526,15834,15836,17204,18858,(D),(D),(D),(D),(D),(D),(D),(D),(D),18184,19680,20394
 "55003","Ashland, WI",3,CAGDP2,45,"51","  Information ","Thousands of dollars",7014,8003,9955,12590,13755,10988,10395,10457,10204,8922,9477,9192,9609,9429,9310,9203,8464,7378,7524,6803,6433,6971
 "55003","Ashland, WI",3,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",71748,78785,78267,83182,90529,87587,90649,98759,101491,109631,114530,107691,107715,122368,114480,116745,118979,116887,131303,121041,115494,119456
 "55003","Ashland, WI",3,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",16100,17009,14864,16410,17627,18143,18759,16867,17354,18042,20776,22032,20334,24545,25494,26660,26586,28543,29331,28027,28481,32782
 "55003","Ashland, WI",3,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",55648,61777,63403,66772,72902,69444,71890,81892,84138,91589,93754,85659,87381,97823,88986,90085,92393,88344,101972,93014,87013,86673
 "55003","Ashland, WI",3,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",22914,18560,18183,23982,25452,27023,22938,23873,22725,25057,26160,(D),(D),(D),(D),(D),(D),(D),(D),27809,32160,35645
 "55003","Ashland, WI",3,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",(D),7127,7739,(D),(D),(D),10600,11445,11578,12686,13186,(D),15193,15259,(D),(D),(D),(D),16394,16392,16200,17864
 "55003","Ashland, WI",3,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",(D),7408,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",8723,4026,(D),10525,12487,11886,(D),(D),(D),(D),(D),10662,(D),(D),11130,10764,11823,11116,(D),(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",70708,75383,79847,85445,87802,89939,92348,93738,99578,95936,95712,99801,101103,96361,95673,104729,117359,121094,128557,126874,137082,142941
 "55003","Ashland, WI",3,CAGDP2,69,"61","   Educational services ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",16797,18293,18670,20035,20224,20077,19986,19913,20280,20907,19628,20024,20543,21993,23729,24296,25234,27026,29570,24717,31079,33095
 "55003","Ashland, WI",3,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",1854,2068,2142,2191,2183,1979,2103,2223,2243,2130,1962,2057,1817,1826,1797,1862,1704,1834,2098,1765,2283,2430
 "55003","Ashland, WI",3,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",14943,16226,16528,17844,18041,18097,17883,17691,18037,18776,17665,17967,18726,20167,21932,22433,23530,25191,27472,22952,28797,30665
 "55003","Ashland, WI",3,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",12584,12448,12111,12695,12837,11733,10542,10514,11290,12495,12076,12014,12538,13279,13720,13576,19820,21127,22440,22085,22833,24774
 "55003","Ashland, WI",3,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",89828,95324,101018,106320,110078,116418,121009,126238,132719,133225,133231,135753,131221,136663,139748,142519,135500,138919,143040,142143,148046,159327
 "55003","Ashland, WI",3,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",10547,9943,12455,16367,18332,21048,17245,16443,8243,11697,11598,14339,14825,18795,17079,23643,19957,13634,14766,15023,12881,12613
 "55003","Ashland, WI",3,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),70175,71815,72985,74636,75962,80636,83984,86266,(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55003","Ashland, WI",3,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",74514,64593,74152,83616,85671,89659,92541,97415,84808,89146,100966,107786,115012,109190,112786,111776,109462,113966,113007,110580,108703,109599
 "55003","Ashland, WI",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",98771,95753,106695,118046,122784,141221,154904,158732,145091,125965,137463,157397,166061,159813,162676,169525,171726,156367,156570,155614,153143,157223
 "55003","Ashland, WI",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",279169,283710,295738,318985,338061,337706,341750,351516,362126,375621,384171,386967,395099,403012,397525,409632,434113,441332,474116,451428,480014,507687
 "55005","Barron, WI",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",1284454,1298198,1362090,1431056,1463262,1514845,1584039,1544734,1658469,1682862,1755975,1799026,1900711,2024529,2137544,2022418,2062501,2268319,2178616,2211991,2384294,2598030
 "55005","Barron, WI",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",1097146,1100520,1154718,1210206,1233401,1278479,1335674,1294131,1399988,1419828,1493936,1526463,1628749,1747025,1860217,1749893,1787044,1982142,1891992,1921156,2079413,2280035
 "55005","Barron, WI",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),100883,(D),75793,(D),120872,(D),(D),(D),(D),(D),(D),(D),103446,183395
 "55005","Barron, WI",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1772,1714,2477,0,45,20,0,0,0,0,1220,7357,30681,86080,97695,27901,46097,92798,38101,16924,19556,34082
 "55005","Barron, WI",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",4106,4812,5110,5069,4848,5357,5660,6595,5217,(D),(D),(D),6150,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55005","Barron, WI",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",54100,52437,56899,59276,57722,56815,57441,52139,54501,54991,59076,69007,68646,68589,74651,77762,81516,78632,85763,79162,89197,92380
 "55005","Barron, WI",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",368161,332514,345199,355286,355219,363207,361114,359574,362287,382691,405213,450138,474068,503618,520973,564697,589153,592710,621822,609933,653339,665029
 "55005","Barron, WI",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",178256,178111,192482,199468,201122,205222,203272,203140,178632,203157,234990,265972,281040,277536,283829,302737,313435,336399,365610,348045,381322,393020
 "55005","Barron, WI",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",189905,154403,152717,155817,154097,157985,157842,156433,183655,179535,170222,184166,193028,226082,237145,261960,275718,256311,256212,261888,272017,272010
 "55005","Barron, WI",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",31322,32054,34524,38566,41651,44682,45253,46609,(D),(D),(D),(D),51280,(D),(D),(D),(D),(D),(D),(D),(D),(D)
