GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",18741707,19160781,21199021,23418134,27530151,32692236,36912831,42694635,36282203,37567504,39615059,38679320,39365580,40573906,38624849,36105862,37620307,39614458,39971428,36675452,42176156,49080581
 "56000","Wyoming",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",15780162,15969457,17759862,19796836,23732014,28642169,32404555,37820100,31207414,32341402,34317015,33139308,33482811,34525765,32464736,29926759,31298478,33189516,33555778,30106049,35452169,42098585
 "56000","Wyoming",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",416474,311233,428298,453278,430426,431576,363363,450457,445075,529445,796450,562889,713175,744836,700284,635178,627682,674333,652950,606839,716686,1007063
 "56000","Wyoming",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3804520,3717259,4810790,6011838,8611311,11393443,12634548,16167216,11636977,12219753,12999347,10149801,10177223,10214235,7086168,5621286,6891107,7224870,6663565,4880967,6535269,9352600
 "56000","Wyoming",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",498391,508924,530285,566137,570707,650129,690346,737294,829278,918528,953885,964456,992943,995595,1015199,1059179,1044494,1011162,1026055,1044330,1060802,1143412
 "56000","Wyoming",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",1168291,1221639,1238414,1238343,1406570,1709416,2037756,2256289,1988501,1925804,1820568,2037075,2117336,2332490,2259180,2073817,1936448,2036730,2429863,2330559,2395901,2480083
 "56000","Wyoming",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",1328370,955474,1145919,1306414,1509375,1891410,2871947,3413959,1555314,1697565,2053106,2511044,1872885,1675531,2213495,1620289,1986957,2565110,2842174,1900136,2939569,4321625
 "56000","Wyoming",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",261477,261479,259245,297503,315025,324073,365967,404897,385585,375731,411678,443124,424631,447655,482715,432742,495383,510937,583706,549155,597838,691778
 "56000","Wyoming",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1066893,693995,886674,1008911,1194349,1567338,2505980,3009062,1169729,1321835,1641428,2067920,1448254,1227877,1730781,1187547,1491575,2054173,2258468,1350982,2341731,3629847
 "56000","Wyoming",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",742753,762419,790202,863462,945851,1110735,1225333,1356261,1237762,1306213,1367885,1556495,1647123,1798432,1710187,1517114,1456063,1485450,1556865,1435100,1457437,1577306
 "56000","Wyoming",7,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",1329794,1421580,1450353,1409473,1561751,1714754,1877292,1984879,1944123,1841022,1924277,2042355,2102195,2108995,2209702,2202662,2167795,2184058,2303330,2349632,2666667,2893599
 "56000","Wyoming",7,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",953880,949331,1059991,1192299,1389813,1736399,1865208,2161304,1955869,2084366,2132081,2453942,2729596,3058540,3373104,3297735,3288762,3626275,3389077,3230263,3846566,4173653
 "56000","Wyoming",7,CAGDP2,45,"51","  Information ","Thousands of dollars",284658,330300,360549,397185,408670,439979,479821,523318,562877,574575,570850,555198,587682,568428,620292,626328,629362,644136,688253,653110,739014,789804
 "56000","Wyoming",7,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",2481012,2734990,2802899,3065788,3431082,3555541,3969588,4012068,4254190,4362300,4612631,4916794,5051733,5417049,5482242,5589872,5382151,5612181,5619770,5506148,5973400,6476761
 "56000","Wyoming",7,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",654909,727695,685607,681256,756111,822290,878204,833893,802602,765673,780633,859657,789989,899451,948745,1022540,1060817,1157964,1163683,1165554,1418188,1537654
 "56000","Wyoming",7,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",1826103,2007295,2117292,2384532,2674970,2733251,3091384,3178175,3451588,3596628,3831998,4057137,4261744,4517598,4533496,4567331,4321334,4454217,4456087,4340595,4555212,4939107
 "56000","Wyoming",7,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",851189,934369,934181,932068,969833,1116840,1314068,1467689,1491660,1506334,1577109,1679544,1731258,1793002,1800505,1698817,1794357,1936474,2036103,1990560,2385233,2620869
 "56000","Wyoming",7,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",589674,659279,640108,650061,689356,776122,873107,1000866,944270,970233,1009299,1072894,1079890,1150782,1139135,1073620,1131687,1230407,1341937,1299410,1439247,1630124
 "56000","Wyoming",7,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",50871,71470,76891,86723,91363,109014,108321,108947,103038,125338,125014,148448,160414,137501,143064,124605,121153,125035,120461,138326,320581,267526
 "56000","Wyoming",7,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",210644,203619,217181,195284,189115,231704,332640,357875,444352,410764,442796,458201,490955,504719,518306,500593,541517,581032,573705,552824,625405,723218
 "56000","Wyoming",7,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",798016,878965,942644,1018368,1075168,1162722,1257654,1416046,1492524,1561137,1605434,1662554,1683050,1694885,1737755,1768180,1794895,1849420,1914178,1956999,2015951,2113827
 "56000","Wyoming",7,CAGDP2,69,"61","   Educational services ","Thousands of dollars",45058,54801,53983,61816,63328,70596,75018,80823,93133,99675,104864,104921,110823,108532,104539,109360,116554,118439,129878,127145,141885,165539
 "56000","Wyoming",7,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",752958,824164,888661,956552,1011840,1092125,1182636,1335222,1399392,1461462,1500571,1557633,1572227,1586353,1633215,1658820,1678341,1730981,1784300,1829854,1874066,1948288
 "56000","Wyoming",7,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",713322,785701,830738,907573,960787,1177987,1208373,1265905,1218572,1214968,1293341,1403035,1437379,1496759,1618549,1609124,1676584,1673451,1735285,1561060,2007693,2376841
 "56000","Wyoming",7,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",148247,130629,140334,144543,146360,163746,182214,195264,201820,217105,234138,260889,250788,276253,259589,260231,277855,297112,299654,272455,336164,411795
 "56000","Wyoming",7,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",565075,655073,690404,763030,814427,1014241,1026158,1070641,1016752,997863,1059203,1142146,1186591,1220506,1358960,1348893,1398729,1376339,1435631,1288604,1671528,1965046
 "56000","Wyoming",7,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",409493,457273,434598,434609,460671,551238,609259,607417,594690,599391,610051,644127,639233,626988,638074,607181,621822,665866,698312,660346,711983,771144
 "56000","Wyoming",7,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",2961544,3191324,3439159,3621297,3798137,4050067,4508276,4874535,5074789,5226102,5298045,5540012,5882769,6048140,6160113,6179103,6321829,6424942,6415650,6569403,6723986,6981996
 "56000","Wyoming",7,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",4220993,4028492,5239088,6465117,9041737,11825019,12997911,16617673,12082052,12749199,13795797,10712689,10890398,10959071,7786452,6256463,7518789,7899203,7316515,5487805,7251954,10359662
 "56000","Wyoming",7,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",2072547,2183999,2240555,2272935,2507603,2825489,3102625,3341140,3181885,3147235,3292163,3598850,3749318,3907427,3919889,3719775,3623858,3669508,3860194,3784732,4124104,4470905
 "56000","Wyoming",7,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",1452271,1458255,1590277,1758436,1960520,2386528,2555554,2898598,2785147,3002894,3085966,3418398,3722539,4054135,4388303,4356913,4333256,4637437,4415131,4274593,4907368,5317065
